order_id,order_datetime,customer_id,region,channel,category,product,quantity,unit_price,discount_pct,revenue,cost,status,payment_method,is_member,customer_age,rating,coupon_code,sales_rep,notes
ORD-00015,2026-02-23 15:35:00,CUST-0171,West,store,Electronics,Headphones,6,811.47,15,0.0,0.0,cancelled,credit_card,True,71,1,VIP,Chen,
ORD-00016,2025-09-30 13:19:00,CUST-0147,South,mobile,Home,Storage Box,4,676.92,0,2707.68,1614.56,completed,bank_transfer,False,23,2,VIP,Alice,delayed shipment
ORD-00017,2025-11-06 16:14:00,CUST-0218,South,store,Sports,Yoga Mat,2,49.77,10,0.0,0.0,cancelled,paypal,True,54,4,VIP,,
ORD-00018,2026-03-26 09:27:00,CUST-0210,South,partner,Sports,Water Bottle,3,613.07,15,1563.33,731.68,completed,bank_transfer,False,29,1,WELCOME10,Alice,
ORD-00019,2025-04-14 10:43:00,CUST-0141,South,partner,Home,Kettle,4,124.23,5,472.07,250.47,completed,bank_transfer,True,63,2,WELCOME10,Bob,delayed shipment
ORD-00020,2025-01-31 08:24:00,CUST-0024,North,partner,Sports,Running Shoes,4,605.88,0,2423.52,1929.3,pending,paypal,False,27,3,SUMMER25,Bob,
ORD-00021,2025-10-08 13:48:00,CUST-0126,South,store,Sports,Yoga Mat,5,95.71,20,382.84,194.87,completed,paypal,False,31,,,Alice,address corrected
ORD-00022,2025-07-12 19:50:00,CUST-0141,North,mobile,Home,Chair,2,807.94,0,1615.88,837.62,completed,apple_pay,True,28,4,SUMMER25,Diana,delayed shipment
ORD-00023,2025-08-29 09:45:00,CUST-0114,North,store,Electronics,Headphones,2,653.42,15,-1110.81,502.64,refunded,paypal,True,37,4,SUMMER25,,delayed shipment
ORD-00024,2025-09-11 21:21:00,CUST-0150,South,mobile,Home,Desk,2,658.69,0,0.0,0.0,cancelled,paypal,False,45,4,,Bob,
ORD-00025,2026-02-14 12:22:00,CUST-0113,East,web,Home,Chair,5,205.15,0,0.0,0.0,cancelled,paypal,True,71,3,VIP,Diana,delayed shipment
ORD-00026,2026-03-08 14:49:00,CUST-0172,East,mobile,Home,Storage Box,1,400.22,0,-400.22,203.69,refunded,paypal,True,38,5,,Evan,
ORD-00027,2025-01-31 20:10:00,CUST-0099,Central,web,Books,Finance 101,4,46.15,0,0.0,0.0,cancelled,apple_pay,True,58,2,,Chen,priority customer
ORD-00028,2025-02-08 17:10:00,CUST-0143,South,partner,Sports,Water Bottle,2,21.02,5,-39.94,24.82,refunded,apple_pay,True,25,3,,Evan,delayed shipment
ORD-00029,2025-03-09 18:02:00,CUST-0064,South,store,Sports,Water Bottle,1,406.92,0,406.92,272.52,pending,apple_pay,False,54,5,SUMMER25,Alice,gift order
ORD-00030,2025-11-09 08:34:00,CUST-0090,East,web,Electronics,Mouse,1,670.77,10,603.69,471.54,completed,paypal,True,33,4,WELCOME10,Chen,
ORD-00031,2026-03-22 15:08:00,CUST-0027,Central,partner,Electronics,Mouse,2,221.51,0,-443.02,317.16,refunded,paypal,False,26,4,,Alice,address corrected
ORD-00032,2026-04-17 08:45:00,CUST-0165,Central,partner,Books,Statistics,3,794.89,15,2026.97,1331.67,completed,credit_card,False,52,4,VIP,Diana,
ORD-00033,2025-03-06 19:07:00,CUST-0209,Central,store,Home,Lamp,5,301.8,15,1282.65,951.35,completed,paypal,False,52,4,,Alice,delayed shipment
ORD-00034,2026-02-10 14:12:00,CUST-0053,South,mobile,Books,Machine Learning,4,272.91,25,0.0,0.0,cancelled,credit_card,False,40,4,,Alice,
ORD-00035,2025-03-09 13:22:00,CUST-0011,West,mobile,Home,Lamp,5,59.87,5,284.38,197.75,completed,bank_transfer,True,22,,VIP,Alice,priority customer
ORD-00036,2026-02-06 09:48:00,CUST-0102,Central,mobile,Home,Storage Box,4,660.27,0,2641.08,1980.77,completed,credit_card,False,58,,,Alice,address corrected
ORD-00037,2025-01-03 17:24:00,CUST-0107,South,web,Books,Finance 101,3,154.35,15,393.59,293.69,completed,paypal,False,56,4,SUMMER25,,
ORD-00038,2026-05-05 20:54:00,CUST-0209,West,partner,Books,Statistics,3,146.56,0,0.0,0.0,cancelled,apple_pay,False,48,5,WELCOME10,Chen,
ORD-00039,2025-06-27 17:44:00,CUST-0084,North,store,Sports,Water Bottle,1,705.14,10,-634.63,390.79,refunded,paypal,True,74,,,Bob,address corrected
ORD-00040,2025-05-25 13:53:00,CUST-0129,North,partner,Sports,Water Bottle,6,632.02,15,3223.3,2598.6,completed,apple_pay,False,61,5,SUMMER25,Alice,
ORD-00041,2025-02-07 18:46:00,CUST-0043,North,partner,Sports,Basketball,4,31.76,5,-120.69,88.4,refunded,credit_card,True,26,1,SUMMER25,Alice,address corrected
ORD-00042,2026-03-13 21:44:00,CUST-0214,North,store,Electronics,Webcam,1,250.15,25,0.0,0.0,cancelled,credit_card,True,47,,SUMMER25,Alice,gift order
ORD-00043,2026-01-03 14:56:00,CUST-0222,Central,mobile,Sports,Yoga Mat,6,467.18,0,2803.08,2199.68,completed,bank_transfer,True,72,5,,Chen,
ORD-00044,2026-05-15 17:30:00,CUST-0227,West,partner,Home,Lamp,4,740.7,25,2222.1,1064.3,completed,apple_pay,False,55,1,,Bob,priority customer
ORD-00045,2025-11-09 21:52:00,CUST-0148,Central,web,Books,Machine Learning,5,108.61,0,-543.05,255.34,refunded,credit_card,True,21,5,,,gift order
ORD-00046,2026-04-27 18:14:00,CUST-0239,East,partner,Sports,Running Shoes,2,777.06,25,1165.59,864.83,pending,paypal,False,67,3,VIP,Evan,delayed shipment
ORD-00047,2025-05-24 09:30:00,CUST-0138,North,mobile,Home,Lamp,5,785.69,5,3732.03,1916.06,completed,bank_transfer,False,65,5,,Chen,gift order
ORD-00048,2025-12-21 09:56:00,CUST-0041,Central,partner,Books,Python Basics,6,262.97,25,0.0,0.0,cancelled,apple_pay,False,60,5,SUMMER25,Alice,
ORD-00049,2025-05-11 09:32:00,CUST-0013,Central,mobile,Sports,Basketball,5,437.49,5,2078.08,1416.48,completed,apple_pay,False,44,,,Evan,gift order
ORD-00050,2026-05-27 22:21:00,CUST-0009, west ,store,Sports,Water Bottle,2,803.81,0,1607.62,935.32,completed,apple_pay,True,28,3,,,delayed shipment
ORD-00051,2025-06-18 16:07:00,CUST-0116,West,mobile,Sports,Basketball,2,115.55,0,0.0,0.0,cancelled,apple_pay,True,44,4,VIP,Diana,
ORD-00052,2025-03-15 11:01:00,CUST-0070,Central,partner,Electronics,Mouse,1,794.11,10,714.7,485.23,completed,credit_card,False,60,2,,,address corrected
ORD-00053,2025-03-29 09:46:00,CUST-0118,East,store,Sports,Dumbbell,4,634.73,0,-2538.92,1379.44,refunded,credit_card,True,29,4,,,priority customer
ORD-00054,2025-11-19 09:43:00,CUST-0152,East,partner,Home,Lamp,4,523.59,0,2094.36,1183.88,pending,apple_pay,False,18,4,VIP,Evan,
ORD-00055,2026-01-27 20:00:00,CUST-0156,Central,mobile,Books,Data Engineering,2,322.53,10,580.55,432.64,completed,credit_card,False,33,5,,Bob,gift order
ORD-00056,2026-02-17 22:06:00,CUST-0155,West,store,Books,Finance 101,5,41.7,0,208.5,157.76,completed,credit_card,True,23,5,WELCOME10,Diana,
ORD-00057,2026-02-19 09:48:00,CUST-0041,North,mobile,Electronics,Webcam,6,39.73,0,238.38,165.78,completed,paypal,False,20,,,,gift order
ORD-00058,2025-07-10 20:51:00,CUST-0120,South,store,Home,Kettle,3,128.05,5,364.94,216.06,completed,bank_transfer,True,34,1,SUMMER25,Bob,
ORD-00059,2026-02-05 11:17:00,CUST-0232,Central,mobile,Books,Finance 101,6,309.35,20,-1484.88,866.5,refunded,apple_pay,False,53,5,,Alice,
ORD-00060,2026-06-30 16:26:00,CUST-0054,North,store,Books,Data Engineering,4,826.39,0,3305.56,2201.48,completed,paypal,False,52,4,,,delayed shipment
ORD-00061,2025-06-20 12:32:00,CUST-0139,Central,mobile,Electronics,Headphones,3,183.57,0,-550.71,259.41,refunded,bank_transfer,True,64,4,,Alice,
ORD-00062,2026-06-02 08:35:00,CUST-0188,East,web,Electronics,Mouse,6,747.1,20,3586.08,2884.57,completed,credit_card,True,38,2,,Chen,address corrected
ORD-00063,2025-10-10 14:12:00,CUST-0190,North,store,Sports,Dumbbell,1,278.48,0,0.0,0.0,cancelled,bank_transfer,False,44,4,WELCOME10,Alice,
ORD-00064,2025-08-22 11:45:00,CUST-0021,Central,mobile,Books,Machine Learning,1,303.44,0,303.44,171.64,completed,credit_card,True,50,2,,Bob,address corrected
ORD-00065,2025-10-25 18:53:00,CUST-0080,South,web,Electronics,Monitor,5,519.73,0,2598.65,1474.3,completed,apple_pay,False,68,4,,Alice,
ORD-00066,2026-02-18 16:04:00,CUST-0010,West,partner,Electronics,Monitor,6,415.26,20,1993.25,990.11,pending,apple_pay,False,65,4,WELCOME10,Diana,
ORD-00067,2026-05-23 13:11:00,CUST-0164,North,partner,Books,Statistics,3,88.12,25,0.0,0.0,cancelled,bank_transfer,True,66,2,,,
ORD-00068,2025-07-21 20:45:00,CUST-0054,East,partner,Home,Kettle,4,407.75,20,-1304.8,762.8,refunded,paypal,True,68,,,Diana,gift order
ORD-00069,2026-06-20 20:57:00,CUST-0207,South,store,Electronics,Monitor,4,420.98,20,0.0,0.0,cancelled,bank_transfer,True,40,2,,Evan,address corrected
ORD-00070,2025-05-27 14:15:00,CUST-0045,West,web,Sports,Yoga Mat,5,603.33,20,2413.32,1375.25,completed,paypal,True,41,4,,Diana,address corrected
ORD-00071,2026-04-16 20:06:00,CUST-0026,Central,partner,Books,Finance 101,4,432.27,0,1729.08,1011.46,pending,bank_transfer,False,41,5,SUMMER25,,delayed shipment
ORD-00072,2025-11-01 14:44:00,CUST-0026,Central,partner,Home,Desk,2,311.59,15,529.7,364.87,completed,bank_transfer,True,21,4,SUMMER25,Evan,
ORD-00073,2025-08-22 11:46:00,CUST-0085,West,mobile,Electronics,Webcam,3,694.24,20,1666.18,925.54,completed,apple_pay,False,73,4,VIP,Bob,delayed shipment
ORD-00074,2025-08-23 22:56:00,CUST-0216,East,web,Sports,Yoga Mat,3,792.95,0,0.0,0.0,cancelled,apple_pay,True,31,5,,Alice,priority customer
ORD-00075,2026-03-11 21:06:00,CUST-0204,Central,mobile,Books,Python Basics,6,747.21,0,0.0,0.0,cancelled,credit_card,True,55,1,,Bob,
ORD-00076,2025-02-24 15:43:00,CUST-0087,South,web,Books,Statistics,2,520.17,0,1040.34,542.47,completed,credit_card,True,47,3,,,delayed shipment
ORD-00077,2025-12-19 16:43:00,CUST-0229,East,partner,Sports,Water Bottle,6,197.4,0,0.0,0.0,cancelled,credit_card,True,18,3,VIP,Bob,address corrected
ORD-00078,2025-09-01 19:40:00,CUST-0113,West,mobile,Books,Finance 101,1,310.11,0,-310.11,251.97,refunded,credit_card,True,65,4,VIP,Evan,gift order
ORD-00079,2026-06-25 12:44:00,CUST-0214,Central,partner,Sports,Running Shoes,3,728.2,20,1747.68,1407.35,completed,apple_pay,False,34,1,WELCOME10,Chen,
ORD-00080,2025-10-09 15:34:00,CUST-0168,West,mobile,Books,Data Engineering,1,451.85,5,429.26,298.19,pending,paypal,False,32,4,SUMMER25,Diana,
ORD-00081,2025-12-09 17:34:00,CUST-0171,Central,mobile,Home,Chair,4,260.46,25,781.38,517.63,completed,credit_card,True,53,3,,Evan,delayed shipment
ORD-00082,2026-02-28 21:09:00,CUST-0164,Central,web,Electronics,Mouse,1,230.12,25,172.59,118.6,pending,apple_pay,False,53,5,SUMMER25,Chen,priority customer
ORD-00083,2025-11-03 11:38:00,CUST-0036,South,mobile,Books,Statistics,6,57.74,15,0.0,0.0,cancelled,apple_pay,True,74,5,WELCOME10,Bob,delayed shipment
ORD-00084,2026-06-11 16:14:00,CUST-0130,Central,web,Books,Statistics,4,338.48,20,-1083.14,614.55,refunded,bank_transfer,False,41,2,VIP,Evan,delayed shipment
ORD-00085,2026-01-25 22:38:00,CUST-0213,South,store,Electronics,Mouse,6,806.83,20,3872.78,3146.84,completed,credit_card,True,61,,WELCOME10,Bob,
ORD-00086,2026-05-24 10:24:00,CUST-0140,East,mobile,Sports,Water Bottle,4,465.61,20,1489.95,1011.0,completed,apple_pay,False,43,5,SUMMER25,Evan,address corrected
ORD-00087,2025-06-24 17:30:00,CUST-0022,West,partner,Electronics,Headphones,3,276.34,25,621.76,443.05,completed,bank_transfer,False,30,5,VIP,Evan,priority customer
ORD-00088,2026-04-22 22:04:00,CUST-0210,South,mobile,Sports,Basketball,5,311.88,20,1247.52,920.78,completed,credit_card,False,50,5,SUMMER25,Diana,
ORD-00089,2025-09-28 09:57:00,CUST-0093,Central,mobile,Home,Desk,6,37.94,25,0.0,0.0,cancelled,credit_card,True,69,2,WELCOME10,,gift order
ORD-00090,2026-02-03 11:00:00,CUST-0194,East,mobile,Home,Lamp,4,817.56,20,2616.19,1693.35,pending,credit_card,False,41,4,VIP,Diana,priority customer
ORD-00091,2025-09-02 15:15:00,CUST-0089,North,web,Sports,Running Shoes,2,51.97,15,0.0,0.0,cancelled,apple_pay,False,52,1,,,gift order
ORD-00092,2025-03-20 20:12:00,CUST-0189,East,store,Home,Lamp,2,493.65,0,987.3,475.47,pending,paypal,False,29,1,,Chen,priority customer
ORD-00093,2025-11-28 13:36:00,CUST-0080,Central,web,Books,Finance 101,3,623.59,0,1870.77,1444.31,pending,apple_pay,False,40,5,SUMMER25,Diana,
ORD-00094,2026-02-26 17:25:00,CUST-0203,East,web,Sports,Dumbbell,3,16.4,0,49.2,31.44,completed,paypal,False,72,5,SUMMER25,Alice,gift order
ORD-00095,2025-08-24 21:11:00,CUST-0050,North,web,Books,Finance 101,4,309.94,10,1115.78,812.33,completed,credit_card,True,26,1,SUMMER25,Diana,gift order
ORD-00096,2025-05-22 13:48:00,CUST-0022,West,web,Sports,Running Shoes,3,784.67,25,1765.51,1198.48,pending,apple_pay,True,63,4,,,
ORD-00097,2025-06-24 09:12:00,CUST-0226,East,store,Sports,Running Shoes,1,796.85,0,796.85,439.75,completed,credit_card,True,58,5,,,delayed shipment
ORD-00098,2025-09-18 09:33:00,CUST-0006,North,mobile,Sports,Dumbbell,1,436.94,0,-436.94,310.35,refunded,bank_transfer,True,20,,VIP,Chen,address corrected
ORD-00099,2025-12-20 10:56:00,CUST-0186,West,mobile,Books,Finance 101,4,759.75,20,2431.2,1805.84,completed,credit_card,False,43,4,WELCOME10,Diana,gift order
ORD-00100,2026-03-04 21:49:00,CUST-0126,West,partner,Books,Data Engineering,6,411.72,20,0.0,0.0,cancelled,apple_pay,True,45,2,SUMMER25,Evan,
ORD-00101,2025-12-14 17:50:00,CUST-0092,South,web,Home,Storage Box,3,213.6,10,576.72,292.52,completed,paypal,False,55,2,VIP,Alice,address corrected
ORD-00102,2025-09-07 09:15:00,CUST-0218,East,web,Electronics,Monitor,6,596.47,20,2863.06,1579.77,completed,apple_pay,True,57,1,VIP,Diana,priority customer
ORD-00103,2025-12-23 19:12:00,CUST-0156,North,web,Electronics,Keyboard,2,430.55,25,-645.83,427.63,refunded,paypal,True,39,4,WELCOME10,Chen,delayed shipment
ORD-00104,2025-02-11 20:09:00,CUST-0068,South,partner,Sports,Running Shoes,2,392.63,0,785.26,554.16,pending,apple_pay,False,57,3,SUMMER25,Bob,
ORD-00105,2025-05-19 18:54:00,CUST-0232,East,partner,Sports,Basketball,2,528.34,0,-1056.68,695.8,refunded,apple_pay,True,51,5,,,
ORD-00106,2025-04-27 22:10:00,CUST-0233,Central,web,Electronics,Headphones,5,848.55,0,4242.75,3180.17,pending,credit_card,True,55,4,WELCOME10,Diana,address corrected
ORD-00107,2025-04-29 22:20:00,CUST-0192,South,store,Home,Chair,4,370.93,20,0.0,0.0,cancelled,bank_transfer,True,20,1,SUMMER25,Chen,address corrected
ORD-00108,2025-08-03 19:44:00,CUST-0216,West,partner,Home,Kettle,2,103.12,5,0.0,0.0,cancelled,credit_card,False,56,1,,Bob,
ORD-00109,2026-04-03 09:17:00,CUST-0097,North,mobile,Electronics,Keyboard,3,133.14,10,359.48,271.57,completed,credit_card,True,72,4,,Chen,
ORD-00110,2025-04-09 22:42:00,CUST-0221,South,web,Books,Python Basics,3,217.48,15,554.57,272.19,completed,bank_transfer,False,53,5,SUMMER25,Alice,address corrected
ORD-00111,2025-12-20 15:43:00,CUST-0015,North,store,Books,Data Engineering,3,503.69,0,1511.07,1131.57,completed,credit_card,True,32,3,,Diana,priority customer
ORD-00112,2026-06-08 20:00:00,CUST-0031,South,partner,Books,Finance 101,3,791.79,0,2375.37,1608.05,completed,paypal,False,29,4,,Evan,
ORD-00113,2025-08-22 11:52:00,CUST-0042,West,store,Sports,Running Shoes,1,434.58,5,412.85,248.2,completed,apple_pay,False,35,1,,Evan,address corrected
ORD-00114,2025-07-14 13:21:00,CUST-0162,West,mobile,Electronics,Headphones,4,253.44,25,0.0,0.0,cancelled,paypal,True,47,1,SUMMER25,Bob,
ORD-00115,2026-06-25 21:47:00,CUST-0084,North,partner,Home,Lamp,6,464.38,0,0.0,0.0,cancelled,bank_transfer,True,67,1,WELCOME10,Diana,
ORD-00116,2025-06-20 19:38:00,CUST-0162,Central,store,Books,Data Engineering,4,319.78,0,1279.12,697.54,completed,bank_transfer,False,26,5,,Bob,
ORD-00117,2025-02-19 13:16:00,CUST-0091,East,mobile,Home,Storage Box,2,70.58,10,127.04,86.61,completed,credit_card,True,26,4,WELCOME10,Bob,delayed shipment
ORD-00118,2025-06-08 17:43:00,CUST-0198,East,web,Home,Kettle,4,799.83,0,3199.32,2501.82,completed,apple_pay,True,35,4,,Bob,
ORD-00119,2025-09-23 09:57:00,CUST-0152,North,web,Books,Finance 101,1,670.7,25,-503.03,302.77,refunded,bank_transfer,True,73,2,,Chen,address corrected
ORD-00120,2025-06-25 17:07:00,CUST-0090,South,MOBILE,Sports,Water Bottle,6,422.25,0,2533.5,1984.77,completed,paypal,True,30,5,,Chen,
ORD-00121,2025-05-20 13:10:00,CUST-0163,North,store,Electronics,Keyboard,5,122.11,25,457.91,370.18,completed,paypal,False,57,4,,Evan,gift order
ORD-00122,2025-12-02 12:15:00,CUST-0037,East,mobile,Home,Chair,1,637.74,15,542.08,351.14,completed,credit_card,False,35,4,VIP,,priority customer
ORD-00123,2025-05-17 20:53:00,CUST-0197,East,store,Books,Finance 101,3,286.99,0,-860.97,476.21,refunded,bank_transfer,False,21,5,,,delayed shipment
ORD-00124,2025-04-23 12:46:00,CUST-0239,West,partner,Books,Python Basics,2,69.7,10,125.46,99.6,completed,bank_transfer,True,18,4,SUMMER25,Alice,
ORD-00125,2025-07-03 21:49:00,CUST-0189,South,partner,Sports,Basketball,5,650.41,20,2601.64,1774.46,pending,apple_pay,True,59,5,SUMMER25,,
ORD-00126,2025-08-05 20:19:00,CUST-0197,Central,store,Books,Statistics,3,415.85,20,998.04,643.68,completed,credit_card,True,64,,VIP,,
ORD-00127,2025-02-24 18:34:00,CUST-0152,Central,web,Electronics,Webcam,1,282.6,0,282.6,189.6,pending,paypal,False,34,4,,Evan,address corrected
ORD-00128,2025-05-15 22:36:00,CUST-0004,East,web,Electronics,Headphones,4,224.04,25,0.0,0.0,cancelled,credit_card,True,47,5,SUMMER25,Chen,gift order
ORD-00129,2026-04-11 19:15:00,CUST-0132,South,partner,Electronics,Headphones,4,838.1,5,3184.78,2404.62,completed,paypal,False,26,4,WELCOME10,Evan,
ORD-00130,2026-01-18 15:56:00,CUST-0053,West,mobile,Home,Lamp,4,74.35,15,252.79,137.76,pending,bank_transfer,False,42,3,,Evan,
ORD-00131,2026-01-16 21:23:00,CUST-0098,North,store,Home,Storage Box,2,386.1,5,733.59,576.37,completed,apple_pay,True,44,3,,Evan,gift order
ORD-00132,2025-03-02 13:17:00,CUST-0025,East,mobile,Home,Lamp,4,192.26,15,0.0,0.0,cancelled,apple_pay,False,65,,WELCOME10,Evan,gift order
ORD-00133,2025-02-18 11:48:00,CUST-0186,South,store,Books,Statistics,5,734.18,0,3670.9,2838.43,pending,bank_transfer,True,72,5,,Diana,delayed shipment
ORD-00134,2025-01-09 17:47:00,CUST-0179,North,web,Sports,Yoga Mat,2,445.47,15,0.0,0.0,cancelled,credit_card,True,59,2,,,delayed shipment
ORD-00135,2025-08-06 17:48:00,CUST-0149,Central,web,Books,Data Engineering,2,360.77,10,649.39,312.91,pending,paypal,False,63,3,,Evan,priority customer
ORD-00136,2025-03-31 14:25:00,CUST-0009,North,mobile,Electronics,Webcam,4,516.08,0,2064.32,1128.67,completed,paypal,False,68,,,,delayed shipment
ORD-00137,2026-06-11 09:13:00,CUST-0085,North,store,Electronics,Headphones,5,672.94,5,3196.47,2342.78,completed,apple_pay,False,48,5,SUMMER25,Chen,
ORD-00138,2025-02-11 08:51:00,CUST-0082,North,mobile,Books,Python Basics,3,629.54,10,0.0,0.0,cancelled,apple_pay,True,56,5,WELCOME10,Chen,address corrected
ORD-00139,2025-11-15 18:14:00,CUST-0017,Central,store,Home,Kettle,5,22.11,5,-105.02,65.62,refunded,credit_card,True,30,3,,Alice,gift order
ORD-00140,2026-04-29 15:00:00,CUST-0002,North,web,Electronics,Webcam,6,12.37,0,74.22,42.21,completed,apple_pay,False,30,3,,Alice,
ORD-00141,2025-02-26 22:23:00,CUST-0088,West,store,Home,Storage Box,4,364.1,10,1310.76,648.57,completed,bank_transfer,True,19,3,,,
ORD-00142,2025-09-12 11:46:00,CUST-0042,West,mobile,Electronics,Headphones,1,476.19,0,476.19,303.02,pending,apple_pay,False,21,,SUMMER25,Bob,
ORD-00143,2025-07-09 19:55:00,CUST-0199,South,mobile,Home,Chair,5,443.75,0,0.0,0.0,cancelled,bank_transfer,True,64,1,,Alice,delayed shipment
ORD-00144,2025-08-02 21:44:00,CUST-0033,East,partner,Books,Finance 101,3,153.27,0,459.81,350.22,pending,bank_transfer,False,28,5,VIP,Evan,priority customer
ORD-00145,2025-11-12 19:37:00,CUST-0229,Central,partner,Books,Finance 101,4,760.01,25,-2280.03,1682.66,refunded,apple_pay,True,48,3,,,
ORD-00146,2025-08-24 20:32:00,CUST-0228,East,partner,Electronics,Mouse,2,48.74,0,97.48,53.3,completed,paypal,False,20,4,,Alice,delayed shipment
ORD-00147,2025-02-02 12:25:00,CUST-0062,South,store,Electronics,Keyboard,5,25.45,0,127.25,100.08,pending,apple_pay,False,51,5,,,
ORD-00148,2025-06-17 20:07:00,CUST-0017,East,mobile,Home,Kettle,1,272.06,5,258.46,182.83,completed,credit_card,False,56,,WELCOME10,Diana,
ORD-00149,2026-01-06 09:18:00,CUST-0086,North,partner,Sports,Running Shoes,1,390.83,20,312.66,162.81,completed,credit_card,True,48,1,,Diana,
ORD-00150,2025-02-25 12:12:00,CUST-0014,South,store,Electronics,Headphones,5,557.66,15,2370.05,1560.37,completed,bank_transfer,True,70,4,,Evan,
ORD-00151,2026-01-14 10:05:00,CUST-0194,North,mobile,Electronics,Webcam,3,555.94,0,1667.82,1214.62,completed,credit_card,False,62,5,,Evan,
ORD-00152,2025-02-13 19:02:00,CUST-0117,West,web,Electronics,Mouse,1,752.0,0,0.0,0.0,cancelled,bank_transfer,True,65,5,,Evan,
ORD-00153,2025-01-27 20:52:00,CUST-0037,West,web,Electronics,Webcam,3,156.7,10,423.09,314.53,pending,paypal,True,39,,,Chen,
ORD-00154,2026-06-23 18:52:00,CUST-0074,West,mobile,Electronics,Headphones,4,803.58,5,3053.6,1625.94,completed,credit_card,True,68,4,SUMMER25,Alice,address corrected
ORD-00155,2025-02-14 14:37:00,CUST-0208,North,web,Books,Statistics,3,754.61,10,2037.45,1127.13,completed,bank_transfer,False,60,,,Alice,address corrected
ORD-00156,2025-07-24 09:37:00,CUST-0041,Central,partner,Home,Desk,2,840.26,20,0.0,0.0,cancelled,bank_transfer,False,56,5,,Evan,address corrected
ORD-00157,2025-06-09 17:50:00,CUST-0053,South,mobile,Electronics,Headphones,4,705.47,20,0.0,0.0,cancelled,paypal,True,52,1,,,gift order
ORD-00158,2025-01-21 16:32:00,CUST-0118,North,store,Home,Storage Box,3,288.62,0,-865.86,579.31,refunded,paypal,True,56,4,,Chen,address corrected
ORD-00159,2025-02-22 09:44:00,CUST-0187,North,mobile,Electronics,Headphones,5,385.07,25,1444.01,1100.97,completed,apple_pay,False,45,2,VIP,,gift order
ORD-00160,2025-09-25 14:58:00,CUST-0158,Central,mobile,Sports,Basketball,3,132.6,0,397.8,315.36,completed,apple_pay,True,37,4,WELCOME10,Bob,delayed shipment
ORD-00161,2026-02-05 18:48:00,CUST-0239,Central,store,Sports,Dumbbell,3,246.44,0,739.32,345.87,completed,paypal,True,65,5,,Diana,delayed shipment
ORD-00162,2026-01-18 14:39:00,CUST-0026,Central,mobile,Electronics,Webcam,4,247.02,15,839.87,423.43,completed,credit_card,False,36,4,,Bob,delayed shipment
ORD-00163,2026-03-05 15:30:00,CUST-0160,East,web,Books,Statistics,6,717.3,0,4303.8,2846.67,completed,apple_pay,False,46,4,,Alice,
ORD-00164,2025-06-28 10:05:00,CUST-0104,North,store,Books,Finance 101,6,313.63,10,1693.6,1282.26,completed,apple_pay,False,22,3,VIP,,
